cwc_station_name,cwc_district,cwc_river,cwc_basin,cwc_latitude,cwc_longitude,cwc_start_date,cwc_end_date,cwc_daily_rows,cwc_missing_pct,cwc_nonzero_pct,station_code,forecast_station_name,forecast_district,forecast_river,forecast_tributary,forecast_latitude,forecast_longitude,linked_comid,streamorder,reach_link_distance_m,cwc_to_forecast_distance_km,name_similarity_score,river_or_basin_match,linkage_score,candidate_rank
Choral at Barwah,Khargone,Narmada,Narmada,22.24583333,76.05111111,2019-07-01,2025-12-31,2223,6.44,60.5,MP1100_Bhdli,Bhadli,Khargon,Narmada,Veda,21.850833333333327,75.60527777777777,440983121,7,37207.352799811175,63.564,0.2727,True,0.3959,3
Choral at Barwah,Khargone,Narmada,Narmada,22.24583333,76.05111111,2019-07-01,2025-12-31,2223,6.44,60.5,MP1100_Thkri,Thikri,Khargon,Narmada,Narmada,22.06666666666666,75.48333333333332,440970738,7,10335.4121083296,61.773,0.1818,True,0.3739,4
Choral at Barwah,Khargone,Narmada,Narmada,22.24583333,76.05111111,2019-07-01,2025-12-31,2223,6.44,60.5,MP1100_Gujri,Gujri,Dhar,Narmada,Karam,22.558333333333334,75.51666666666667,440983121,7,47214.50288495643,65.009,0.0952,True,0.3258,5
DEDTALAI,Khandwa,Tapi,Tapi,21.51305556,76.75722222,2001-01-01,2024-11-02,807,90.73,90.83,MP1000_PALNG,Palinga,Betul,Tapi,Tapi,21.803611111111103,77.43305555555554,440988608,7,91401.8738920646,76.954,0.4,True,0.3668,1
DEDTALAI,Khandwa,Tapi,Tapi,21.51305556,76.75722222,2001-01-01,2024-11-02,807,90.73,90.83,MP1000_DDNGR,Deo Dongri,Betul,Tapi,Tapi,21.68055555555556,78.15,440785017,6,123443.1736710054,145.197,0.4444,True,0.2556,2
DEDTALAI,Khandwa,Tapi,Tapi,21.51305556,76.75722222,2001-01-01,2024-11-02,807,90.73,90.83,MP1001_BLKDN,Balkhedan,Betul,Tapi,Purna,21.4,77.67222222222222,440988608,7,144272.89507037407,95.523,0.3529,True,0.2482,3
DEDTALAI,Khandwa,Tapi,Tapi,21.51305556,76.75722222,2001-01-01,2024-11-02,807,90.73,90.83,MP1002_PNSML,Pansemal,Badwani,Tapi,Gomai,21.653888888888886,74.68416666666667,440822163,6,29554.598186886447,214.92,0.375,True,0.2312,4
DEDTALAI,Khandwa,Tapi,Tapi,21.51305556,76.75722222,2001-01-01,2024-11-02,807,90.73,90.83,MP1000_TESKA,Teska,Betul,Tapi,Tapi,21.81583333333333,77.77444444444443,440987232,7,102260.13781900889,110.38,0.3077,True,0.2077,5
Datuni at Dudwas,DEWAS,Narmada,Narmada,22.56722222,76.68833333,2019-07-01,2025-11-04,2315,0.17,61.21,MP1100_Strna,Satrana,Sehore,Narmada,Kolar,22.672222222222224,77.355,440940446,7,7963.290483636937,69.417,0.3478,True,0.3899,1
Datuni at Dudwas,DEWAS,Narmada,Narmada,22.56722222,76.68833333,2019-07-01,2025-11-04,2315,0.17,61.21,MP1100_Kmnkd,Kamankheda,Khandwa,Narmada,Kaveri,22.165,76.23333333333333,440928077,7,9885.832494857046,64.726,0.1538,True,0.3479,2
Datuni at Dudwas,DEWAS,Narmada,Narmada,22.56722222,76.68833333,2019-07-01,2025-11-04,2315,0.17,61.21,MP0215_Sonkh,Sonkatch _C,Dawas,Ganga,Yamuna,22.975277777777773,76.34194444444445,440980362,7,77186.50104248557,57.62,0.2308,False,0.3139,3
Datuni at Dudwas,DEWAS,Narmada,Narmada,22.56722222,76.68833333,2019-07-01,2025-11-04,2315,0.17,61.21,MP1100_Bmhni,Bamhni_Mandla,Mandla,Narmada,Banjar,22.48333333333333,80.36666666666666,440962463,6,12335.25192320282,377.915,0.4286,True,0.25,4
Datuni at Dudwas,DEWAS,Narmada,Narmada,22.56722222,76.68833333,2019-07-01,2025-11-04,2315,0.17,61.21,MP0215_Smskh,Samaskhedi,Dawas,Ganga,Yamuna,23.191666666666663,76.43388888888887,440948707,7,99756.09332826416,74.167,0.2308,False,0.2229,5
